dataset_name,model,accuracy_syn_test,accuracy_train_test,fidelity
credit-approval,VAE,0.7681159420289855,0.927536231884058,0.782608695652174
credit-approval,TensorContracted,0.855072463768116,0.927536231884058,0.8985507246376812
credit-approval,TensorConFormer,0.8695652173913043,0.927536231884058,0.9130434782608695
credit-approval,Transformed,0.6231884057971014,0.927536231884058,0.6666666666666666
credit-approval,TensorConFormerEnc,0.8695652173913043,0.927536231884058,0.9130434782608695
credit-approval,TensorConFormerDec,0.8260869565217391,0.927536231884058,0.8695652173913043
breast-w,VAE,0.7857142857142857,0.9428571428571428,0.7857142857142857
breast-w,TensorContracted,0.9,0.9428571428571428,0.9285714285714286
breast-w,TensorConFormer,0.9714285714285714,0.9428571428571428,0.9714285714285714
breast-w,Transformed,0.7571428571428571,0.9428571428571428,0.7285714285714285
breast-w,TensorConFormerEnc,0.8285714285714286,0.9428571428571428,0.8571428571428571
breast-w,TensorConFormerDec,0.9714285714285714,0.9428571428571428,0.9428571428571428
eucalyptus,VAE,0.4864864864864865,0.6756756756756757,0.5135135135135135
eucalyptus,TensorContracted,0.5,0.6756756756756757,0.4189189189189189
eucalyptus,TensorConFormer,0.5540540540540541,0.6756756756756757,0.527027027027027
eucalyptus,Transformed,0.3783783783783784,0.6756756756756757,0.33783783783783783
eucalyptus,TensorConFormerEnc,0.5135135135135135,0.6756756756756757,0.5135135135135135
eucalyptus,TensorConFormerDec,0.5135135135135135,0.6756756756756757,0.5945945945945946
blood-transfusion-service-center,VAE,0.72,0.76,0.8
blood-transfusion-service-center,TensorContracted,0.72,0.76,0.8
blood-transfusion-service-center,TensorConFormer,0.7466666666666667,0.76,0.8533333333333334
blood-transfusion-service-center,Transformed,0.6933333333333334,0.76,0.6933333333333334
blood-transfusion-service-center,TensorConFormerEnc,0.7333333333333333,0.76,0.8133333333333334
blood-transfusion-service-center,TensorConFormerDec,0.7066666666666667,0.76,0.84
diabetes,VAE,0.8181818181818182,0.7922077922077922,0.7922077922077922
diabetes,TensorContracted,0.7402597402597403,0.7922077922077922,0.7142857142857143
diabetes,TensorConFormer,0.8181818181818182,0.7922077922077922,0.8701298701298701
diabetes,Transformed,0.7272727272727273,0.7922077922077922,0.6753246753246753
diabetes,TensorConFormerEnc,0.8311688311688312,0.7922077922077922,0.8831168831168831
diabetes,TensorConFormerDec,0.8311688311688312,0.7922077922077922,0.8571428571428571
analcatdata_dmft,VAE,0.1375,0.2,0.275
analcatdata_dmft,TensorContracted,0.1625,0.2,0.225
analcatdata_dmft,TensorConFormer,0.1875,0.2,0.1625
analcatdata_dmft,Transformed,0.1375,0.2,0.225
analcatdata_dmft,TensorConFormerEnc,0.125,0.2,0.2125
analcatdata_dmft,TensorConFormerDec,0.2125,0.2,0.2375
analcatdata_authorship,VAE,0.9764705882352941,0.9764705882352941,0.9764705882352941
analcatdata_authorship,TensorContracted,0.9294117647058824,0.9764705882352941,0.9529411764705882
analcatdata_authorship,TensorConFormer,0.9411764705882353,0.9764705882352941,0.9647058823529412
analcatdata_authorship,Transformed,0.5176470588235295,0.9764705882352941,0.49411764705882355
analcatdata_authorship,TensorConFormerEnc,0.9058823529411765,0.9764705882352941,0.9294117647058824
analcatdata_authorship,TensorConFormerDec,0.9411764705882353,0.9764705882352941,0.9411764705882353
vehicle,VAE,0.6470588235294118,0.7647058823529411,0.6470588235294118
vehicle,TensorContracted,0.6705882352941176,0.7647058823529411,0.6941176470588235
vehicle,TensorConFormer,0.6823529411764706,0.7647058823529411,0.6941176470588235
vehicle,Transformed,0.6,0.7647058823529411,0.6
vehicle,TensorConFormerEnc,0.6941176470588235,0.7647058823529411,0.7058823529411765
vehicle,TensorConFormerDec,0.6941176470588235,0.7647058823529411,0.7411764705882353
tic-tac-toe,VAE,0.6875,0.9791666666666666,0.7083333333333334
tic-tac-toe,TensorContracted,0.7291666666666666,0.9791666666666666,0.7291666666666666
tic-tac-toe,TensorConFormer,0.6458333333333334,0.9791666666666666,0.6458333333333334
tic-tac-toe,Transformed,0.5729166666666666,0.9791666666666666,0.5729166666666666
tic-tac-toe,TensorConFormerEnc,0.71875,0.9791666666666666,0.7395833333333334
tic-tac-toe,TensorConFormerDec,0.7291666666666666,0.9791666666666666,0.75
vowel,VAE,0.47474747474747475,0.9090909090909091,0.5050505050505051
vowel,TensorContracted,0.5050505050505051,0.9090909090909091,0.5151515151515151
vowel,TensorConFormer,0.6464646464646465,0.9090909090909091,0.696969696969697
vowel,Transformed,0.3434343434343434,0.9090909090909091,0.37373737373737376
vowel,TensorConFormerEnc,0.6464646464646465,0.9090909090909091,0.6464646464646465
vowel,TensorConFormerDec,0.6464646464646465,0.9090909090909091,0.6363636363636364
credit-g,VAE,0.72,0.77,0.75
credit-g,TensorContracted,0.67,0.77,0.8
credit-g,TensorConFormer,0.75,0.77,0.76
credit-g,Transformed,0.65,0.77,0.64
credit-g,TensorConFormerEnc,0.69,0.77,0.72
credit-g,TensorConFormerDec,0.74,0.77,0.73
qsar-biodeg,VAE,0.8490566037735849,0.8773584905660378,0.8207547169811321
qsar-biodeg,TensorContracted,0.8207547169811321,0.8773584905660378,0.8490566037735849
qsar-biodeg,TensorConFormer,0.7358490566037735,0.8773584905660378,0.8018867924528302
qsar-biodeg,Transformed,0.6226415094339622,0.8773584905660378,0.6509433962264151
qsar-biodeg,TensorConFormerEnc,0.7830188679245284,0.8773584905660378,0.8490566037735849
qsar-biodeg,TensorConFormerDec,0.8018867924528302,0.8773584905660378,0.8490566037735849
MiceProtein,VAE,0.7592592592592593,0.9722222222222222,0.7592592592592593
MiceProtein,TensorContracted,0.8333333333333334,0.9722222222222222,0.8148148148148148
MiceProtein,TensorConFormer,0.8240740740740741,0.9722222222222222,0.8425925925925926
MiceProtein,Transformed,0.5925925925925926,0.9722222222222222,0.5833333333333334
MiceProtein,TensorConFormerEnc,0.7962962962962963,0.9722222222222222,0.8055555555555556
MiceProtein,TensorConFormerDec,0.8333333333333334,0.9722222222222222,0.8518518518518519
pc1,VAE,0.9369369369369369,0.954954954954955,0.9819819819819819
pc1,TensorContracted,0.9279279279279279,0.954954954954955,0.972972972972973
pc1,TensorConFormer,0.918918918918919,0.954954954954955,0.9459459459459459
pc1,Transformed,0.9279279279279279,0.954954954954955,0.972972972972973
pc1,TensorConFormerEnc,0.9279279279279279,0.954954954954955,0.972972972972973
pc1,TensorConFormerDec,0.918918918918919,0.954954954954955,0.963963963963964
banknote-authentication,VAE,0.9492753623188406,0.9927536231884058,0.9420289855072463
banknote-authentication,TensorContracted,0.9927536231884058,0.9927536231884058,0.9855072463768116
banknote-authentication,TensorConFormer,0.9927536231884058,0.9927536231884058,0.9855072463768116
banknote-authentication,Transformed,0.9710144927536232,0.9927536231884058,0.9637681159420289
banknote-authentication,TensorConFormerEnc,0.9565217391304348,0.9927536231884058,0.9492753623188406
banknote-authentication,TensorConFormerDec,0.9710144927536232,0.9927536231884058,0.9637681159420289
pc4,VAE,0.7876712328767124,0.8835616438356164,0.8082191780821918
pc4,TensorContracted,0.8287671232876712,0.8835616438356164,0.8082191780821918
pc4,TensorConFormer,0.8561643835616438,0.8835616438356164,0.863013698630137
