dataset_name,model,alpha_precision,beta_recall,authenticity
breast-w,Transformed,0.6506651168797624,0.2288389513108614,0.5823970037453183
breast-w,TensorConFormerEnc,0.6300873907615481,0.2583021223470662,0.5880149812734082
breast-w,TensorConFormerDec,0.8990012484394507,0.534956304619226,0.5168539325842697
eucalyptus,VAE,0.8858919294800998,0.1674970344009489,0.8362989323843416
eucalyptus,TensorContracted,0.9548615372029288,0.0941874258600237,0.905693950177936
eucalyptus,TensorConFormer,0.7903914590747331,0.1550415183867141,0.8042704626334519
eucalyptus,Transformed,0.7170818505338079,0.136773428232503,0.8772241992882562
eucalyptus,TensorConFormerEnc,0.8745367529758252,0.092170818505338,0.8843416370106761
eucalyptus,TensorConFormerDec,0.864650059311981,0.1297746144721233,0.8701067615658363
blood-transfusion-service-center,VAE,0.9055180451732175,0.4966200466200466,0.6223776223776224
blood-transfusion-service-center,TensorContracted,0.9044168475202958,0.432051282051282,0.6083916083916084
blood-transfusion-service-center,TensorConFormer,0.8722610722610722,0.4665501165501166,0.5856643356643356
blood-transfusion-service-center,Transformed,0.6785547785547785,0.4356643356643357,0.6311188811188811
blood-transfusion-service-center,TensorConFormerEnc,0.8873603408086167,0.5088578088578088,0.5104895104895105
blood-transfusion-service-center,TensorConFormerDec,0.9126235833132385,0.4713286713286713,0.5629370629370629
diabetes,VAE,0.7948892674616695,0.3416240772288472,0.6235093696763203
diabetes,TensorContracted,0.7090289608177172,0.3036910846110167,0.5843270868824532
diabetes,TensorConFormer,0.4959681998864282,0.5066439522998296,0.5570698466780238
diabetes,Transformed,0.7844406587166383,0.3797842135150483,0.6183986371379898
diabetes,TensorConFormerEnc,0.6886996024985804,0.3048268029528675,0.616695059625213
diabetes,TensorConFormerDec,0.93480976717774,0.4455423055082339,0.5195911413969335
analcatdata_dmft,VAE,0.9733990147783252,0.9282977558839628,0.1428571428571428
analcatdata_dmft,TensorContracted,0.960919540229885,0.8806787082649152,0.1510673234811166
analcatdata_dmft,TensorConFormer,0.9334428024083196,0.89480021893815,0.2068965517241379
analcatdata_dmft,Transformed,0.7559934318555008,0.7929939792008758,0.2972085385878489
analcatdata_dmft,TensorConFormerEnc,0.9576354679802956,0.888232074438971,0.1773399014778325
analcatdata_dmft,TensorConFormerDec,0.9305966064586754,0.918007662835249,0.1215106732348111
analcatdata_authorship,VAE,0.697092419522326,0.4993769470404984,0.4922118380062305
analcatdata_authorship,TensorContracted,0.6773624091381101,0.612668743509865,0.4890965732087227
analcatdata_authorship,TensorConFormer,0.1939771547248181,0.7961864861961543,0.3333333333333333
analcatdata_authorship,Transformed,0.0590861889927311,0.0,1.0
analcatdata_authorship,TensorConFormerEnc,0.8079958463136032,0.4649013499480788,0.5856697819314641
analcatdata_authorship,TensorConFormerDec,0.1230529595015575,0.8550649908690514,0.2959501557632398
vehicle,VAE,0.5944272445820433,0.1779153766769864,0.7678018575851393
vehicle,TensorContracted,0.8288957688338493,0.2428276573787411,0.7507739938080495
vehicle,TensorConFormer,0.7357069143446853,0.3146542827657378,0.651702786377709
vehicle,Transformed,0.5836945304437565,0.2431372549019607,0.718266253869969
vehicle,TensorConFormerEnc,0.779360165118679,0.26656346749226,0.7291021671826625
