dataset_name,model,marginal,pairs-correlation,data-validity,data-struct
cmc,TensorConFormerDec,0.9605289125715414,0.89554637873155,1.0,1.0
pc3,VAE,0.8316408458667873,0.9192573118043336,1.0,1.0
pc3,TensorContracted,0.8134795883749858,0.9531077758959472,1.0,1.0
pc3,TensorConFormer,0.8740925025443854,0.9402796655934412,1.0,1.0
pc3,Transformed,0.851543593803008,0.8647034096377338,1.0,1.0
pc3,TensorConFormerEnc,0.7954766481963136,0.9351508087604116,1.0,1.0
pc3,TensorConFormerDec,0.8965735610087074,0.9413040913666224,1.0,1.0
semeion,VAE,0.9230295566502462,0.9596636519751468,1.0,1.0
semeion,TensorContracted,0.929379618226601,0.9646504902021414,1.0,1.0
semeion,TensorConFormer,0.9591383158866996,0.9665631732740756,1.0,1.0
semeion,Transformed,0.9043481886289,0.9497484102775736,1.0,1.0
semeion,TensorConFormerEnc,0.9351491943760264,0.9639898924168798,1.0,1.0
semeion,TensorConFormerDec,0.9588977832512317,0.966285847517503,1.0,1.0
car,VAE,0.9708554125662376,0.9485743123896035,1.0,1.0
car,TensorContracted,0.978299268231138,0.942366893767348,1.0,1.0
car,TensorConFormer,0.9641685591723442,0.940701488771133,1.0,1.0
car,Transformed,0.8877113298006559,0.8453696694423416,1.0,1.0
car,TensorConFormerEnc,0.9747665909664396,0.9488771132980066,1.0,1.0
car,TensorConFormerDec,0.9794347716376482,0.949482715114812,1.0,1.0
steel-plates-fault,VAE,0.898846960167715,0.9554963206812964,1.0,1.0
steel-plates-fault,TensorContracted,0.9167415393830488,0.9714752531603964,1.0,1.0
steel-plates-fault,TensorConFormer,0.9317909553758612,0.9715120619049156,1.0,1.0
steel-plates-fault,Transformed,0.8825496655685333,0.9325548928597794,1.0,1.0
steel-plates-fault,TensorConFormerEnc,0.9176150544075072,0.9655194198772654,1.0,1.0
steel-plates-fault,TensorConFormerDec,0.9377558151143056,0.973094277238288,1.0,1.0
mfeat-zernike,VAE,0.9380892782644972,0.981357732467288,1.0,1.0
mfeat-zernike,TensorContracted,0.952941176470588,0.9775396860718444,1.0,1.0
